userPrincipalName,displayName,surname,mail,givenName,id,userType,jobTitle,department,accountEnabled,usageLocation,streetAddress,state,country,officeLocation,city,postalCode,telephoneNumber,mobilePhone,alternateEmailAddress,ageGroup,consentProvidedForMinor,legalAgeGroupClassification
azterraformcli@daredevelops.dev,Az terraform,,,,,Member,,,TRUE,,,,,,,,,,,,,
clara@daredevelops.dev,Clara Jansen,Jansen,,Clara,,Member,COO,Corp,TRUE,,,,,,,,,,,,,
clint@daredevelops.dev,Clint McIntyre,McIntyre,,Clint,,Member,Director,IT,TRUE,,,,,,,,,,,,,
dakota@daredevelops.dev,Dakota Clay,Clay,,Dakota,,Member,DIrector,Finance,TRUE,,,,,,,,,,,,,
dburt@daredevelops.dev,Drew Burt,Burt,,Drew,,Member,DevOps Engineer,IT product development,TRUE,US,,,,,,,,,,,,
devlin@daredevelops.dev,Devlin Abrams,Abrams,,Devlin,,Member,CEO,Corp,TRUE,,,,,,,,,,,,,
donnie@daredevelops.dev,Donnie Han,Han,,Donnie,,Member,,,TRUE,,,,,,,,,,,,,
dorotea@daredevelops.dev,Dorotea Abaroa,Abaroa,,Dorotea,,Member,Director,Accounting,TRUE,,,,,,,,,,,,,
meghan@daredevelops.dev,Meghan Aturi,Aturi,,Meghan,,Member,Director,Talent,TRUE,,,,,,,,,,,,,
mia@daredevelops.dev,Mia Elena,Elena,,Mia,,Member,Director,Marketing,TRUE,,,,,,,,,,,,,
noah@daredevelops.dev,Noah Andreu,Andreu,,Noah,,Member,Director,Operations,TRUE,,,,,,,,,,,,,
price@daredevelops.dev,Price Brannock,Brannock,,Price,,Member,CFO,Corp,TRUE,,,,,,,,,,,,,
rey@daredevelops.dev,Rey Bronson,Bronson,,Rey,,Member,CIO,Corp,TRUE,,,,,,,,,,,,,
sandyd@daredevelops.dev,Sandy,Dee,,Sandra,,Member,Solutions Developer,IT Application Development,TRUE,US,,,,,,,,,,,,
thomas@daredevelops.dev,Thomas User,User,,Thomas,,Member,Director,Finance,TRUE,US,,,,,,,,,,,,
